"","00:00","00:20","00:40","01:00","01:20","01:40","02:00","02:20","02:40","03:00","03:20","03:40","04:00","04:20","04:40","05:00","05:20","05:40","06:00","06:20","06:40","07:00","07:20","07:40","08:00","08:20","08:40","09:00","09:20","09:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40"
"2016-08-02",69.8,92.19,0,153.8,0,0,0,0,96.27,0,80.87,0,0,98.18,116.72,106.12,100.35,86.28,78.75,97.76,84.76,130.2,152.82,121.2,176.07,133.51,211.41,243.89,173.12,155.75,152.4,139.6,129.26,144.07,101.66,112.51,0,118.26,88.32,91.02,146.22,105.94,114.44,119.05,148.66,88.22,114.36,102.6,95.88,107.28,139.35,119.23,140.74,128.1,127.17,96.13,121.46,91.71,154.09,124.81,101.37,133.51,116.12,104.98,141.01,125.11,87.51,0,83.76,142.94,80.33,0
"2016-08-03",0,0,109.18,77.19,0,93.53,0,86.81,0,0,0,90.42,75.92,102.19,0,129.87,75.18,0,0,81.22,157.06,137.57,153.71,189.33,184.96,134.18,168.96,178.56,214.98,120.79,127.78,104.54,105.84,128.42,115.19,114.26,95,82.98,104.03,133.1,117.59,132.54,142.02,111.65,104.09,0,178.83,58.92,128.16,120.27,126.66,139.57,147.15,136.25,144.47,113.22,108.32,125.95,110.92,115.14,122.65,130.81,112.09,101.79,113.65,112.53,0,105.78,113.15,102.7,0,133.87
"2016-08-04",106.72,66.75,105.13,101.64,0,84.27,0,0,0,69.88,0,0,0,0,90.66,89.84,86.81,75.32,84.41,113.65,111.75,153.84,117.63,155.51,159.49,151.12,175.71,153.26,167.64,176.35,77.54,92.19,204.46,141.43,0,110.35,0,127.8,108.81,135.79,118.35,78.12,119.44,96.69,131.33,70.79,140.6,123.54,113.05,118,144.61,93.48,189.74,129.65,93.51,109.51,110.4,95.13,125.67,96.35,114.59,123.6,114.63,0,0,0,93.47,0,124.96,0,0,0
"2016-08-05",147.14,0,0,98.27,68.39,0,0,108.31,0,0,0,77.34,0,0,129.46,0,73.48,114.35,106.72,90.35,118.28,111.28,144.88,153.61,144.84,0,214.33,256.75,153.27,127.74,118.08,86.98,127.89,105.16,117.43,92.73,128.18,97.02,96.63,100.54,110.35,118.87,95.66,121.94,123.72,125.01,118.29,120.92,119.99,139.38,128.82,135.81,85.06,131.69,173.54,115.53,161.13,123.04,140.94,113.88,161.46,121.09,121.16,116.4,114.13,94.03,104.24,0,112.59,118.62,106.53,0
"2016-08-06",0,77.45,94.01,92.73,0,114.12,0,0,0,118.38,0,114.73,124.98,0,127.05,85.98,0,0,82.01,116.55,104.11,94.48,81.81,124.62,160.89,113.35,139.15,160.62,93.59,0,0,0,0,0,0,90.24,77.97,111.76,108.87,0,129.78,173.14,109.14,116.58,108.56,95.37,89.33,141.84,101.23,111.31,110.36,143.18,128.72,139.27,105.42,130.44,125.98,104.35,116.03,117.14,0,0,120.18,84.2,108.51,0,71.86,0,110.49,68.84,0,107.19
"2016-08-07",95.19,76.33,0,0,0,0,100.04,0,0,110.34,0,102.73,0,0,87.56,77.12,82.32,86.85,79.52,121.8,98.34,99.06,105.19,79.47,133.65,100.95,125.82,90.72,146.06,81.78,71.73,0,0,145.86,84.88,101.9,111.82,130.53,91.53,143.28,96.52,114.34,132.58,89.39,0,44.14,122.09,67.63,0,95,0,153.1,158.98,126.35,110.61,120.31,106.61,123.59,141.95,177.04,115.57,97.03,118.84,123.26,90.21,109.33,120.58,87.58,97.31,0,101.27,0
"2016-08-08",0,0,0,0,0,0,0,113.3,0,0,0,0,0,0,82.88,91.5,83.23,73.97,80.85,146.7,112.63,136.15,168.58,165.42,153.5,146.74,145.89,164.29,254.29,163.13,163.74,129.09,115.6,118.28,116.1,86.16,145.08,99.72,116.6,108.84,138.63,86.59,136,102.86,112.95,112.84,112.41,117.5,110.6,0,0,0,0,0,0,136.26,96.23,145.37,198.79,138.07,119.05,114.32,110.21,121.19,114.46,101.64,0,0,0,129.7,128.74,0
"2016-08-09",0,0,0,0,0,97.7,0,0,0,89.32,0,0,0,0,0,93.32,0,92.56,0,106.9,129.12,155.07,164.09,129.9,163.1,138.82,236.04,287.59,233.07,132.45,115.66,120.39,147.56,106.9,113.5,0,0,112.03,124.33,125.52,123.24,108.89,131.77,103.45,120.45,118.16,113.83,128.95,100.1,122.61,134.6,125.94,140.15,127.71,122.58,162.73,102.23,104.19,137.37,114.17,83.89,116.36,0,111,110.24,0,128.61,72.59,65.72,87.04,0,108.69
"2016-08-10",0,83.95,116.64,104.86,67.48,0,85.37,0,0,100.83,0,100.8,0,79.8,94.39,0,73.26,0,94.57,62.3,72.05,150.84,142.3,169.69,0,0,129.33,134.32,114.31,97.18,95.53,200.42,0,135.06,113.2,94.02,122.03,0,94.88,122.15,111.58,142.25,0,126.28,114.21,113.68,121.69,123.06,122.48,142.42,157.45,166.36,148.56,147.97,126.9,0,108.39,99.53,120.71,151.89,78.72,0,121.09,105.84,0,0,74.64,84.33,98.19,92.53,0,114.98
"2016-08-11",127.22,0,0,0,0,0,0,0,97.16,0,0,0,90.23,97,0,0,0,137.09,112.8,124.79,91.88,135.18,144.25,139.74,159.2,182.95,180.73,257.5,233.24,131.65,126.71,161.78,111.2,89.36,134.47,106.49,114.82,96.45,98.93,108.99,107.62,122.66,92.98,97.44,106.55,130.44,96.69,97.2,103.53,138.67,97.04,146.44,94.26,122.31,147.66,116.97,108.8,112.55,124.29,139.65,83.77,93.89,78.45,74.72,109.47,94.68,0,92.49,0,100.85,0,0
"2016-08-12",65.32,0,148.73,0,125.57,0,0,92.92,83.09,0,0,0,60,0,0,90.72,0,0,59.74,87.77,133.86,84.6,132.77,131.66,129.93,159.02,143.88,181.9,151.79,112.37,137.94,105.85,172.14,102.46,91.66,94.45,0,84.68,99.95,132.57,140.92,108.41,130.53,117.88,110.83,105.21,82.47,102.8,137.53,100.36,109.31,137.39,143.89,133.55,126.49,125.24,135.75,164.87,107.87,145.84,109.37,148.64,0,109.46,0,125.91,117.64,114.09,0,107.15,109.31,0
"2016-08-13",81.5,0,91.97,0,0,0,77.59,88.05,0,0,0,0,0,99.28,0,54.98,92.72,0,83.33,96.94,155.79,177.27,84.46,136.38,107.73,154.95,102.66,146.58,0,0,0,0,0,0,0,0,105.34,115.58,90.81,99.36,85.36,86.92,106.58,110.75,96.64,115.32,132.49,102.64,133.89,0,161.86,129.14,120.11,130.05,94.11,117.97,96.93,85.77,143.38,102.36,108.42,149.61,119.15,88.43,101.59,82.09,73.65,0,79.05,92.12,0,0
"2016-08-14",69.25,0,0,76.69,0,119.01,0,0,109.69,0,0,77.02,0,0,88.81,0,0,91.36,0,66.62,117.24,121.08,102.53,110.78,108.16,110.62,195.76,117.64,117.94,117.36,0,0,0,0,126.95,99.18,120.6,127.08,107.19,119.05,101.39,118.23,103.76,0,0,84.52,0,0,0,0,0,0,70.44,125.53,90.31,121.1,141.3,151.66,123.63,99.84,96.45,120.81,0,129.32,111.38,111.59,138.84,97.11,137.46,0,136.25,113.59
"2016-08-15",0,88.91,89.56,137.09,0,0,0,77.96,0,0,0,0,0,91.92,76.73,79.03,0,149.93,88.1,113.97,117.5,133.14,133.81,102.85,152.12,88.34,141.78,159.07,147.33,130.35,102.98,119.54,109.57,102.42,104.8,100.76,103.3,124.01,82.42,99.06,101.78,123.27,120.03,0,117.95,94.9,101.7,95.29,104.09,139.4,0,0,105.1,109.91,116.03,135.06,0,127.8,131.85,79.84,75.47,118.11,148.94,141.41,100.05,120.33,0,82.3,128.45,73.4,64.73,0
"2016-08-16",0,89,0,0,0,0,0,77.78,0,0,0,0,99.76,76.92,93.74,113.44,0,0,94.08,0,113.91,122.42,134.96,107.96,0,130.48,181.9,214.94,239.81,191.64,123.42,111.76,120.26,108.56,93.41,102.59,77.14,83.96,89.78,115.05,92.03,145.98,85.96,101.9,110.74,87.43,93.59,103.3,86.38,114.57,97.25,124.02,109.89,118.51,119.89,133.05,102.05,0,131.88,91.49,114.51,96.14,0,78,86.56,100.15,97.02,83.14,91.26,61.92,98.62,0
"2016-08-17",89.47,0,0,0,63.85,0,0,0,0,79.77,132.62,0,0,0,109.23,0,0,72.4,109.11,133.09,104.48,127.34,126.8,124.31,136.81,139.3,155.42,140.95,238.22,118.7,100.05,107.29,85.53,91.33,0,100,96.71,113.77,107.06,110.78,156.32,103.41,111.61,103.18,116.87,111.98,89.25,0,100.37,96.35,109.98,75.84,88.01,99.19,100.89,115.59,108.77,79.7,76.05,91.23,120.64,96.43,93.56,100.85,102,83.3,0,80.59,94.62,82.63,114.01,0
"2016-08-18",0,0,66.97,0,70.53,0,0,0,100,0,0,141.4,79.09,0,0,116.37,0,0,116.26,104.87,111.14,84.09,121.3,134.47,117.43,137.36,168.85,272.54,203.38,171.26,103.23,120.89,91.98,77.97,82.31,99.52,94.25,77.34,91.22,122.71,111.58,108.21,108.86,110.78,111.81,95,98.17,99.38,86.73,91.78,84.54,108.29,104.31,85.7,118.94,98.4,0,106.28,0,158.97,96.78,0,157.66,94.16,112.11,85.31,76.3,130.07,0,130.43,119.97,92.55
"2016-08-19",0,0,80.29,0,108.1,86,72.74,0,0,0,0,0,0,0,104.47,0,67.07,0,94.26,80.46,116.94,125.52,98.73,118.96,113.19,106.72,226.98,265.65,258.69,122.88,101.65,80.75,91.08,121.94,98.17,86.35,148.18,85.38,100.7,89.97,76.17,108.17,164.41,80.48,95.41,79.39,108.55,108.7,119.05,99.59,116.56,124.09,121.4,108.13,105.95,117.8,78.3,125.78,123.33,128.57,92.4,95.83,82.3,107.37,100.54,80.38,80.79,89.16,0,0,0,94.53
"2016-08-20",65.27,74.82,117.36,0,71.51,0,0,81.39,0,154.34,83.89,0,65.59,87.82,90.29,0,91.96,0,0,73.87,94.64,92.68,91.77,87.04,105.74,94.19,99.54,122.07,171.51,97.09,90.6,120.71,105.76,113.2,152.1,86.66,106.57,86.8,0,88.14,107.22,76.6,102.12,133.01,72.27,80.23,107.71,90.24,82.35,95.34,112.42,0,102.25,102.94,94.19,112.91,82.98,0,86.24,90.55,89.08,89.06,108.93,155.96,79.29,70.75,97.29,0,71.03,0,98.28,0
"2016-08-21",0,0,0,69.05,0,0,0,0,72.37,0,0,110.56,0,0,86.61,70.12,95.52,142.87,110.43,81.01,96.48,82.18,84.16,100.93,59.88,87.41,87.52,84.01,85.87,90.63,79.87,91.91,108.04,109.66,93.42,109.65,100.19,94.7,95.72,0,86.36,93.68,104.4,88.92,102.56,95.25,83,106.02,111.75,68.71,135.22,105.76,99.53,122.57,70.76,100.95,100.72,114.84,102.17,99.88,0,138.15,99.14,0,114.62,106.09,73.51,73.3,76.57,0,79.72,0
"2016-08-22",0,108.81,0,0,71.22,70.72,0,0,0,0,82.62,0,86.9,0,129.83,0,0,67.07,0,115,107.98,195.94,85.27,131.74,146.72,126.01,93.77,205.28,220.63,80.38,105.3,105.66,114.03,81.46,86.85,79.89,74.48,124.98,87.58,85.2,97.22,95.46,0,94.19,90.31,101.44,103.64,105.58,102.92,94.91,78.64,73.09,101.1,90.52,114.67,88.12,84.45,88.23,80.99,88.9,75.68,89.91,87.44,85.58,82.11,0,118.15,110.3,0,0,0,0
"2016-08-23",0,0,0,0,0,0,84.7,0,0,0,0,0,0,0,72.2,0,0,76.53,95.87,102.35,108.03,106.49,113.7,138.48,97.81,106.33,116.3,68.16,86.37,91.97,127.53,81.66,91.57,101.61,82.05,86,87.12,83.83,93.79,77.07,86.05,85.16,107.82,105.12,78.62,95.15,88.47,104.8,78.37,99.46,91.61,91.62,104.56,80.32,111.87,0,95.45,93.7,93.66,155.71,83.52,108.46,99.45,96.22,73.94,83.52,82.11,79.48,0,63.69,109,0
"2016-08-24",96.96,0,0,96.08,0,0,146.75,75.26,0,70.77,0,75.85,0,0,0,88.43,109.25,0,70.88,77.99,78.1,66.61,128.88,111.12,145,103.65,181.44,230.09,130.85,127.38,105.51,129.38,88.86,87.95,82.3,125.9,101.66,104.93,99.36,90.51,104.02,106.84,90.9,97.34,94.07,83.95,0,90.08,78.5,90.81,100.36,121.45,0,109.06,74.52,94.61,59.92,77.21,102.99,139.78,105.39,105.83,71.2,78.33,124.64,99.29,95.25,106.54,139.92,102.81,91.82,71.8
"2016-08-25",77.51,0,0,75.33,78.83,109.41,0,0,0,87.68,0,0,94.81,0,0,63.22,97.22,124.79,73.65,81.78,88.79,94.39,99.54,104.54,120.63,85.61,116.57,69.51,80.31,109.32,70.98,113.18,79.98,91.61,0,89.47,70.52,60.07,78.02,59.34,83.39,89,103.72,87.51,86.53,75.31,100.68,81.79,121.99,93.15,92.55,102.42,88.62,96.56,93.86,86.81,118.61,93.89,81.91,124.83,0,0,66.61,118.85,89.94,73.5,0,61.23,0,0,0,147.98
"2016-08-26",0,0,0,0,70.28,0,72.88,0,0,0,125.28,0,0,63.57,0,0,91.09,0,96.6,88.27,97.9,103.06,234.29,153.92,122.4,0,187.84,145.85,108.9,0,100.78,89.43,107.91,87.87,0,106.11,83.45,80.44,96.89,79.96,0,89.34,94.6,78.01,110.58,75.65,97.27,90.62,85.36,93.09,125.01,73.02,97.84,110.7,87.69,91.91,83.57,111.07,117.7,0,99.55,0,87.4,0,90.49,89.69,97.68,93.45,74.95,0,0,0
"2016-08-27",0,0,0,0,0,111.29,0,0,0,82.14,0,0,74.27,0,0,101.09,0,0,68.26,72.12,103.95,70.39,103.41,95.65,86.39,0,94.28,103.47,92.77,89.94,95.37,72.83,103.44,87.68,0,95.89,93.9,88.67,89.7,79.23,102.84,75.16,92.26,77.7,85.33,106.71,85.69,114.24,70.19,69.9,89.4,89.2,81.83,144.21,102.82,90.88,92.35,72.8,82.56,88.13,107.44,92.08,83.03,95.39,107.44,88.4,0,0,0,71.38,0,0
"2016-08-28",0,0,100.69,0,0,0,0,0,0,0,0,0,0,0,0,0,70.44,0,0,0,80.26,82.05,71.98,85.75,76.2,91.21,90.38,93.46,106.78,80.11,104.78,76.78,55.48,95.58,85.55,101.39,100.4,75.39,89.84,107.24,109.11,0,0,95.23,0,87.15,99.35,70.73,136.94,104.89,101.57,0,102.22,0,82.07,86.36,106.5,129.82,0,136.82,126.26,0,0,0,116.17,0,0,0,0,81.06,0,178.62
"2016-08-29",120.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.92,0,74.98,134.21,134.56,140.09,0,0,0,297.55,0,0,0,0,0,0,0,0,0,0,114.05,71.73,97.83,89.39,185.32,121.91,91.66,77.14,145.91,86.57,103.03,130.6,98.49,79.45,106.35,114.77,97.44,0,95.37,0,166.25,171.16,102.04,108.51,128.44,108.71,109.62,0,108.78,124.63,89.93,94.24,87.13
"2016-08-30",0,116.23,0,70.3,0,57.17,0,0,0,0,0,0,0,82.14,0,0,0,0,0,104.93,127.15,121.61,130.84,0,0,200.37,86.39,246.97,138.63,149.36,130.14,103.59,106.53,0,0,128.69,90.64,96.3,68.84,90.08,82.73,0,64.15,124.29,0,90.19,59.33,100.25,89.6,86.12,75.23,95.55,104.31,90.94,92.92,0,93.4,97.09,0,138.29,78.31,67.15,0,0,0,123.78,86,0,99.59,0,0,0
"2016-08-31",0,0,129.86,0,57.06,0,0,77.16,0,133.04,0,0,0,0,73.94,0,0,66.75,103.92,71.98,75.54,115.04,156.5,0,0,210.56,232.54,187.26,130.98,104.1,121.41,120.24,82.75,84.71,90.84,92.78,76.11,75.73,90.72,73.6,65.68,137.99,87.26,116.94,121.62,86.22,83.89,97.08,66,91.14,72.25,116.46,87.95,87.26,0,0,76.62,101.94,70.13,71.88,71.09,0,83.83,65.42,0,0,0,77.48,160.08,82.82,146.49,0
"2016-09-01",108.71,105.16,75.26,0,0,0,0,76.08,0,0,0,0,0,86.32,89.59,115.6,95.3,57.87,70.75,115.41,72.24,148.19,91.34,85.19,95.49,126.49,93.69,99.34,91.06,93.72,94.46,111.29,117.76,97.53,91.85,77.03,82.52,0,89.45,89.87,87.78,90.8,92.14,125.65,90.67,0,96.47,87.08,93.89,79.95,94.79,89.63,73.08,79.57,0,82.07,106.18,118.29,60.36,84.8,88.96,108.54,73.97,112.01,73.52,0,86.04,0,0,83.27,0,0
"2016-09-02",0,94.87,160.23,109.2,83.93,0,0,90.82,0,0,0,0,82.24,0,90.72,0,95.51,77.52,119.1,89.07,97.88,119.22,88.71,88.45,78.05,98.99,89.57,94.66,91.61,103.34,91.53,91.55,74.45,69.7,82,73.39,74.94,83.92,71.11,91.29,83.56,87.59,110.21,80.46,78.2,78.72,70.2,94.47,71.83,76.87,71.82,69.73,82.44,72.29,96.8,85.3,0,0,0,89.61,94.16,0,107.02,109,100.57,0,0,0,70.92,0,0,0
"2016-09-03",82.62,98.77,0,0,0,0,136.95,0,0,0,0,0,0,0,99.15,0,0,77.05,0,120.58,104.69,102.29,94.46,99.72,100.77,87.27,100.2,93.54,88.35,80.5,89.65,103.76,96.54,60.23,96.3,68.95,85.28,78.7,111.13,128.23,68.4,56.11,89.94,83.79,118.25,0,0,92.97,108.77,125.83,63.01,0,79.29,0,0,0,81.62,0,109.32,124.11,0,76.97,125.24,0,108.9,0,81.57,106.45,0,108.18,0,0
"2016-09-04",75.5,0,94.13,0,0,0,128.92,0,0,0,0,0,0,82.84,91.89,0,0,0,0,134.19,0,69.08,87.06,89.89,91.39,95.29,81.45,83.33,109.39,70.53,69.37,112.64,95.42,84.14,133.47,85.7,115.64,0,95.8,100.98,111.76,90.57,93.48,25.21,124.3,78.02,93.05,87.69,120.81,98.67,0,83.59,72.36,0,0,0,0,0,97.79,87.71,50.91,0,0,0,0,0,0,101.81,0,95.37,0,0
"2016-09-05",0,0,0,0,0,0,107.28,0,0,0,0,0,0,0,0,91.79,0,0,102.73,0,67.7,83.41,97.77,76.03,90.59,71.84,93.75,112.13,0,0,103,87.23,94.69,0,0,0,82.2,120.57,118.28,0,116.42,0,40.87,115.38,0,87.11,75.12,90.01,110.39,76.92,96.26,92.83,69.28,156.77,95.98,93.68,0,129.29,95.92,0,0,106.42,102.18,0,83.92,99.8,61.94,0,0,0,0,0
"2016-09-06",0,101.84,136.86,151.07,0,0,0,0,0,66.37,0,102.31,0,0,0,0,0,45.41,0,85.76,82.52,96.04,81.15,88.67,110.15,84.81,106.22,95.33,106.58,0,81.68,95.48,128.25,92.59,99.59,75.83,82.05,68.73,92.23,146.09,101.24,0,96.5,79.35,0,64.67,75.57,96.38,28.7,78.6,112.76,0,107.16,63.84,0,140.54,94.88,158.92,0,130.31,0,87.52,100.62,131.71,101.21,0,86.32,97.43,111.91,114.69,0,0
"2016-09-07",87.15,97.3,106.24,76.96,0,106.78,85.52,132.66,0,0,102.47,125.39,57.04,0,0,87.64,44.64,61.84,106.74,71.6,158.65,104.57,90.27,100.34,96.34,109.8,100.49,114.62,118.8,77.33,126.13,112.64,140.12,93.17,95.28,85.08,80.27,81.68,108.57,88.72,106.52,111.01,135.09,125.2,104.22,91.17,91.09,101.38,111.84,102.31,102.65,0,119.61,111.32,100.54,82.8,86.07,128.39,110.77,123.06,97.48,0,97.02,81.86,112.09,74.88,106.87,0,98.77,0,85.84,211.02
