"","00:00","00:20","00:40","01:00","01:20","01:40","02:00","02:20","02:40","03:00","03:20","03:40","04:00","04:20","04:40","05:00","05:20","05:40","06:00","06:20","06:40","07:00","07:20","07:40","08:00","08:20","08:40","09:00","09:20","09:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40"
"2016-07-29",0,0,0,0,0,0,0,0,189.53,0,0,0,0,0,0,0,0,0,0,105.33,0,0,0,0,75.74,84.45,58.14,0,0,0,108.42,130.99,0,49.3,0,58.75,77.72,31.41,113.04,160.51,164.38,126.06,176.81,0,0,47.41,148.4,170.81,222.91,132.12,131.22,0,43.02,230,59.03,197.47,0,227.49,0,0,338.31,0,0,260.69,0,195.54,0,0,0,0,0,118.46
"2016-07-30",0,0,0,0,0,165.42,0,0,0,0,0,0,0,0,0,0,0,119.78,0,85.04,147.29,109.64,112.97,175.8,0,133.57,170.09,171.03,131,102.78,165.32,0,118.84,138.03,119.15,147.42,147.5,56.27,146.38,111.08,169.74,147.5,0,0,97.64,0,156.7,0,0,201.31,226.22,153.03,208.75,289.08,182.53,194.63,155.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-07-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.06,0,202.98,0,0,87.45,41.91,82.37,108.56,0,56.07,78.85,128.04,120.59,104.27,156.51,108,121.56,65.9,128.94,115.69,0,70.17,58.67,43.47,103.84,141.78,53.06,96.3,128.21,158.07,140.68,56.27,175.62,116.77,94.55,165.71,154.36,179.91,70.74,178.27,124.66,133.94,0,95.72,0,0,230.84,0,92.66,0,148.4,0,0,0,0,0
"2016-08-01",84.97,0,0,0,0,0,0,71.45,0,0,0,0,0,0,0,0,0,203.52,61.44,55.66,0,0,0,171.49,165.85,166.4,181.59,77.33,140.74,98.58,133.31,0,79.36,115.54,189.51,172.59,97.12,0,163.87,53.35,102.54,125.17,93.72,0,0,118.19,0,0,82.89,61.8,201.88,130.69,0,102.98,78.9,0,148.45,0,0,0,0,0,101.37,160.32,232.56,0,0,0,0,0,0,0
"2016-08-02",0,0,0,0,189.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.97,108.19,99.97,66.33,68.59,80.94,91.61,72.01,79.27,0,107.23,177.45,90.44,105.4,170.16,145.73,219.12,159.43,42.47,0,0,138.4,117.13,0,122.82,202.7,105.44,128.71,89.81,103.74,0,42.3,0,91.76,198.81,256.27,259.49,0,0,0,0,0,247.45,0,0,0,220.61,0,77.55,0,0,126.1
"2016-08-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.83,0,0,148.14,134.38,144.47,111.36,201.15,119.24,65.01,92.12,161.18,245.44,178.54,181.11,86.48,32.89,0,99.45,36.44,116.2,204.83,83.37,194.31,68.67,198.24,141.84,178.92,150.31,123.46,88.55,180.45,178.58,178.06,113.32,0,0,0,155.15,95.06,0,0,237.52,0,0,266.75,0,0,65.14,0,0,0,0,0
"2016-08-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.19,0,54.7,0,74.08,235.32,130.25,182.2,38.01,96.55,0,0,0,199.48,205.75,153.58,67.94,143.16,133.39,0,109.2,150.75,189.19,96.87,0,132.22,151.04,109.03,90.45,130.58,98.14,64.8,0,86.5,0,243,255.99,221.95,87.94,0,0,265.11,0,0,137.95,0,0,0,0,86.59,0,0,0,0
"2016-08-05",0,0,0,199.67,0,0,0,0,0,0,0,0,0,0,0,0,0,142.1,0,167.8,157.12,158.85,0,91.62,128.76,162.1,115.62,206.31,122.57,0,67.56,89.98,96.31,87.55,65.13,101.44,200.4,0,135.31,0,111.91,0,126.05,150.68,80.44,108.2,143.06,222.2,213.27,164.58,138.66,221.5,210.45,0,159.83,154.68,0,0,0,0,0,0,212.2,0,0,0,0,0,0,0,0,0
"2016-08-06",0,0,236.02,0,120.44,0,0,121.94,0,0,0,0,0,0,0,0,0,0,71.23,0,49.28,126.84,91.04,132.18,76.4,105.28,46.02,121.28,131.59,0,0,0,0,0,0,123.99,192.6,69.36,213.26,211.94,182.78,143.59,0,181.6,180.68,187.23,229.35,97.44,107.09,176.87,204.58,105.1,0,144.3,158.36,139.97,0,208.59,0,0,137.18,0,0,208.56,0,216.07,0,0,210.31,0,0,0
"2016-08-07",0,0,0,0,0,119.95,0,0,0,0,0,0,0,0,0,112.28,0,0,0,0,0,0,175.25,135.34,126.63,114.23,155.6,56.14,161.21,130.35,0,0,0,0,214.07,129.36,0,83.98,147.15,93.24,121.59,182.06,128.59,75.41,176.1,0,0,166.42,0,233.64,218.21,0,235.35,215.18,0,52.89,0,153.08,0,0,178,160.29,0,0,0,0,263.83,0,0,0,0,108.9
"2016-08-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1,0,74.58,129.32,126.68,43.26,91.22,94.16,104.97,102.6,0,126.33,103.46,169.21,147.75,149.11,86.48,132.8,16.88,121.78,38.73,0,105.79,108.9,61.72,0,99.45,102.56,225.83,160.04,0,0,0,0,0,0,0,101.7,191.85,236.67,0,0,0,253.84,0,0,0,0,153.32,0,0,0,0,0
"2016-08-09",47.29,0,0,0,0,0,0,0,0,0,0,117.11,0,0,0,0,0,0,68.7,0,230.94,125.8,0,230.26,89.31,239.39,0,239.31,98.49,214.16,120.41,159.15,0,83.16,74.05,182.11,129.18,0,91.73,40.04,90.34,190.28,87.76,75.27,161.29,0,226.17,189.81,0,47.4,162.86,159.5,77.86,156.8,150.51,142.52,211.48,0,0,0,0,0,0,0,276.52,98.31,0,0,0,0,0,229.78
"2016-08-10",0,0,119.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7,0,78.64,0,126.53,180.22,0,0,110.36,0,128.94,0,0,146.3,199.39,135.25,86.49,94.91,123.87,133.66,0,88.47,204.32,114.35,113.22,82.33,0,0,0,0,79.01,0,0,153.22,0,0,0,0,0,0,201.58,0,0,0,0,201.61,0,0,0,0,0,0,0,0
"2016-08-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.35,63.43,0,0,0,0,208.66,0,66.83,106.14,147.11,0,87.43,0,0,259.56,166.49,148.08,90.61,0,187.37,184.49,113.78,47.59,0,0,156.65,0,139.72,0,223.27,69.25,226.4,0,0,0,0,0,0,173.08,0,0,0,0,202.65,279.75,0,0,0,0,0,0,0
"2016-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.95,0,201.07,0,0,25.47,0,158.75,0,105.13,0,0,173.65,0,0,194.88,0,0,0,62.72,136.01,0,0,0,199.74,0,0,0,177.4,0,0,0,0,166.41,0,0,232.17,0,0,0,0,0,184.53,0,0,0,166.18,0,0,0,0
"2016-08-13",0,0,0,0,0,0,0,177.57,0,0,0,0,0,0,0,45.76,0,0,0,0,0,0,67.14,0,0,124.8,0,205.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.01,0,170.83,0,0,0,156.28,0,142.26,0,0,0,0,0,0,0,201.43,0,0,98.22,263.75,0,0,0,0,0,0,0,0,0
"2016-08-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.24,0,0,100.41,60.65,33.59,66.54,31.71,0,0,40.82,0,0,136,0,0,0,135.14,107.06,132.63,0,0,78.77,0,170.92,176.31,0,0,0,0,0,0,0,0,145.67,0,174.42,0,0,0,175.01,0,0,0,0,299.91,0,0,158.32,0,0,0,0,0,0
"2016-08-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.52,0,0,0,0,0,0,91.66,0,0,104.57,74.62,120.14,0,0,0,159.22,0,0,134.19,0,0,71.11,0,0,0,0,211.22,0,0,93.69,77.25,146.54,189.78,0,0,135.48,0,0,0,0,0,0,0,0,0,213.87,178.6,0,0,162.75,0,0,0,0
"2016-08-16",0,0,0,0,0,0,0,136.19,0,0,0,0,0,0,0,0,0,0,0,132.8,72.17,0,0,94.36,204.69,0,0,0,0,0,0,85.6,143.53,0,0,185.69,0,0,0,102.16,0,0,0,0,0,0,69.89,0,246.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.5,0,0,0,0,0,0
"2016-08-17",0,0,0,0,0,0,0,0,0,0,0,0,0,104.28,0,0,0,0,0,0,0,0,0,0,0,0,126.78,0,0,104.23,0,0,107.4,0,0,0,158.89,0,158.58,140.35,0,163.53,0,177.58,0,0,0,152.78,106.77,0,0,228.67,0,0,0,0,0,0,0,0,0,0,0,0,0,68.12,0,0,0,0,0,0
"2016-08-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.99,0,133.31,0,0,0,0,0,0,133.73,0,132.27,96.6,0,114.73,0,110.94,0,0,158.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-08-19",0,0,0,0,134.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.82,0,0,0,212.44,0,0,106.11,0,0,133.12,0,137.81,61.04,0,0,0,0,0,0,0,157.22,0,56.19,0,0,235.1,134.27,166.17,0,171.24,0,0,116.82,0,0,271.18,0,0,0,0,0,0,0,0,167.92,0,0,0,0,0,0,0
"2016-08-20",0,0,233.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.57,0,0,0,0,164.75,0,0,0,141.09,74.19,55.08,164.79,0,83.6,0,143.01,0,0,0,73.82,170.79,81.78,150.37,0,122.65,111.06,0,0,54.7,0,0,0,0,89.74,0,0,0,0,151.8,0,0,0,0,0,0,0,0,0,0,0,0
"2016-08-21",0,0,0,206.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.26,0,0,0,0,0,149.62,0,68.52,0,140.4,0,0,0,0,0,86.42,0,0,0,186.07,175.04,0,0,0,76.08,0,128.3,178.52,0,0,0,0,69.07,0,0,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-08-22",0,0,0,0,0,0,0,0,0,121.35,0,0,0,0,0,0,0,0,0,100.24,68.77,0,0,0,0,0,178.58,105.77,176.55,0,0,175.29,0,134.3,141.77,51.15,184.05,88.91,86.69,172.46,0,0,0,0,0,0,0,0,0,0,135.53,0,0,129.86,0,0,0,0,0,0,0,0,0,0,0,189.94,0,191.75,0,0,0,0
"2016-08-23",0,0,0,0,0,0,134.67,0,0,0,0,0,122.5,174.05,0,0,0,144.75,0,0,0,0,0,0,0,142.48,161.88,0,0,119.71,107.11,194.98,0,0,0,0,165.38,0,0,141.58,0,0,112.07,0,0,81.28,0,0,0,0,70.55,177.73,0,0,0,0,0,77.07,173.37,0,0,181.32,0,0,174.16,0,0,0,0,0,0,0
"2016-08-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.82,159.05,0,0,94.16,0,0,0,0,0,0,136.16,0,117.51,0,0,126.05,0,209.4,0,52.61,157.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.65,0,0,0,0,0,0,0
"2016-08-25",0,0,0,0,0,0,0,134.7,0,0,0,0,0,0,0,0,0,0,0,0,41.07,0,0,0,0,0,115.36,82.41,0,0,0,0,0,176.49,140.55,132.62,98.88,0,0,0,153.87,0,0,0,91.94,83.76,0,0,0,0,0,0,140.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.67,203.76,0,0
"2016-08-26",133.69,0,0,244.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56,84.94,0,88.98,242.66,0,162.98,0,0,0,121.03,0,0,0,0,0,0,0,0,145.95,0,169.7,0,117.97,0,0,0,117.87,0,125.22,0,0,0,0,206.94,231.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-08-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.94,0,0,0,0,0,170.59,0,86.6,0,307.01,132.74,0,0,0,196.8,0,0,0,0,0,0,0,0,194.1,227.4,181.29,0,87.85,105.07,0,0,0,0,0,0,0,0,0,0,0,109.08,0,0,83.65,0,0,0,0,0,0,0,0,0
"2016-08-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.9,0,0,0,106.17,89.23,0,0,0,0,0,0,0,0,141.57,124.32,0,240.45,0,0,0,0,0,66.63,0,122.77,0,179.38,0,0,0,0,0,0,114.99,0,0,0,0,0,0,0,0,0,0,130.69,0,0,0,0,0,0,0
"2016-08-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.84,226.9,164.91,0,0,0,0,0,91.13,0,200.16,0,124.13,191.89,198.63,162.68,0,115.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.75,0,0,0
"2016-08-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.54,0,0,247.82,0,0,66.99,0,0,0,74.85,0,0,0,0,178.15,148.29,0,124.47,0,0,173.81,129.36,128.35,0,0,0,85.05,0,0,0,0,0,0,0,0,169.93,0,0,0,0,0,0,0,0,0,0,0
"2016-08-31",0,0,0,0,0,0,0,162.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8,0,157.41,0,0,186.02,0,0,0,60.6,0,0,0,0,0,0,235.34,0,0,0,83.84,0,232.76,0,0,0,0,0,0,0,123.35,0,0,208.59,0,0,0,0,78.44,175.14,0,0,0,0,0,0,0,0
"2016-09-01",127.51,106.96,140.51,0,0,0,54.23,196.97,0,0,0,0,0,62.52,0,45.33,0,176.67,77.39,0,57.72,124.77,152.62,139.02,145.79,40.01,140.23,143.08,111.51,114.43,151.86,99.77,0,130.62,51.28,37.9,82.42,0,184.83,35.14,109.35,120.7,159.65,64.78,81.65,0,0,0,116.46,76.84,169.56,127.04,144.84,0,0,0,83.56,84.42,0,206.17,74.93,152.78,0,0,0,0,0,112.98,0,0,0,0
"2016-09-02",82.92,0,0,170.47,0,0,0,0,0,0,0,0,0,0,0,73.7,0,0,111.97,56.49,19.79,198.29,189.93,134.58,207.22,100.95,92.46,75.04,160.22,158.16,136.67,149.37,91.51,185.16,176.36,181.05,130.76,0,61.65,172.21,104.36,51.19,93.09,70.06,164.61,0,0,122.41,101.4,219.27,169.24,0,0,135.88,106.67,131.66,196.87,97.31,212.22,80.25,0,0,0,0,0,0,0,0,0,0,204.91,0
"2016-09-03",91.96,0,0,133.32,0,0,0,0,131.43,0,0,0,0,0,0,0,0,55.66,144.56,0,0,106.12,59.34,101.26,0,79.31,83.81,126.08,124.58,162.44,40.09,106.39,170.21,143.33,48.88,0,195.71,44.96,178.45,157.48,166.92,0,103.36,0,66.02,0,86.53,145.76,0,0,119.52,142.48,156.01,114.9,0,96.98,84.64,0,0,0,0,0,0,124.92,0,0,0,0,178.7,0,0,0
"2016-09-04",0,0,149.2,153.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.74,0,0,0,53.24,0,133.37,129.14,31.94,0,20.4,43.33,137.39,126.37,160.43,143.36,122.55,0,73.69,108.81,127.04,134.01,0,0,0,72.68,129.31,60.3,0,0,0,0,0,189.32,0,0,51.29,0,161,0,0,0,0,0,0,0,0,0,183.14,0,0,0,158.97,0
"2016-09-05",0,0,0,120.11,0,0,0,0,0,0,0,0,0,0,0,0,0,160.22,0,137.52,0,124.89,126.64,166.38,29.09,30.3,100.91,0,72.38,66.08,0,0,131.62,40.8,0,55.67,130.98,0,96.54,0,0,0,80.5,163.64,159.06,26.26,0,0,118.48,0,139.42,0,201.96,0,119.28,187.78,66.65,0,153.92,141.85,167.44,252.32,0,0,190.91,0,158.78,0,132.74,0,0,0
"2016-09-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.72,0,74.82,56.12,0,0,156.84,0,77.84,108.07,161.19,92.84,134.05,68.39,0,144.85,81.96,129.13,0,139.8,59.57,0,155.58,122.74,126.57,77.74,60.97,0,0,79.07,233.16,0,183.98,57.13,87.29,169.46,112.83,0,146.43,0,38.97,0,306.92,0,143.14,94.16,96.61,141.38,0,0,0,0,197.42,0,0
"2016-09-07",0,0,0,0,0,0,0,178.25,184.87,0,0,258.12,118.25,0,0,0,0,166.98,0,126.74,0,130.67,82.53,106.35,0,151.8,97.43,137.22,121.78,80,0,168.57,177.78,49.46,119.51,29.23,93.39,91.22,173.02,158.76,108.09,128.25,45.33,0,56.11,205.66,99.89,52.35,44.97,103.61,0,0,60.55,132.02,106.41,164.01,187.38,59.04,0,62.19,0,134.13,193.1,175.49,67.17,0,0,168.11,0,0,0,0
"2016-09-08",162.11,121.7,0,0,0,0,0,0,0,133.53,0,0,0,0,0,0,0,132.7,66.78,104.53,64.81,74.36,0,58.94,47.62,51.47,0,35.01,0,0,208.81,68.26,137.41,76.35,0,81.09,34.41,60.7,102.3,28.21,86.77,76.34,41.43,97.14,83.74,107.25,0,88.5,56.9,106.38,207.87,39.14,39.4,195.88,162.77,141.38,283.6,0,0,178.3,118.85,149.4,72.4,48.76,104.41,0,163.27,127.48,0,0,184.09,0
"2016-09-09",0,0,0,229.86,0,0,0,0,0,0,0,0,0,92.52,0,0,0,145.44,0,0,99.45,49.58,0,92.31,41.32,44.76,66.31,105.15,79.17,102.53,22.27,35.52,34.53,0,53.96,106.06,52.02,0,26.46,126.79,114,88.88,65.84,43.46,90.73,70.18,60.83,80.41,51.82,57.98,71.56,67.92,130.1,86.2,126.87,0,280.02,0,0,98.74,114.99,0,212.95,172.42,293.78,262.8,0,85.22,125.84,0,0,0
"2016-09-10",0,0,210.51,116.43,0,140.08,0,0,0,0,0,0,0,0,0,0,0,0,0,124.46,59.59,58.12,172.62,0,56.76,64.76,74.98,24.74,0,51.12,50.61,52.11,45.13,81.39,106.26,67.22,31.03,55.73,59.17,74.14,63.23,106.3,27.65,65.53,50.63,85.16,0,111.74,31.15,84.05,149.18,69.63,166.5,74.5,0,0,83.98,115.95,71.89,0,64.52,35.23,135.01,152.13,126.9,207.26,226.2,95.4,0,143.84,0,0
"2016-09-11",104.86,0,153.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.9,0,0,28.41,118.75,50.05,104.08,195.66,86.14,117.45,97.46,46.63,54.6,95.83,131.17,32.57,86.75,211.79,140.45,160.51,47.84,23.87,89.7,49.93,30.77,20.7,0,32.74,42.54,91.39,27.02,68.04,97.74,155.66,65.41,207.26,61.8,64.91,389.3,362.12,0,82.7,64.67,147.25,0,139.16,97.89,0,245.97,0,0,162.67,188.51,0,0
"2016-09-12",150.39,0,0,0,179.81,0,0,0,148.29,0,212.66,0,0,169.84,0,0,0,151.99,0,149.43,0,111.28,0,0,46.99,89.69,40.31,82.96,90.96,123.07,49.91,106.02,68.73,155.34,97.17,243.54,58.81,73.27,31.4,112.08,81.96,93.77,83.99,91.18,130,99.78,77.69,0,100.58,121.11,134.02,121.88,94.73,194.67,0,56.37,114.03,167.23,0,281.3,173.23,0,0,0,0,100.06,0,0,0,153.44,0,0
"2016-09-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.74,0,0,0,0,105.06,88.19,137.03,159.44,153.05,65.97,61.6,75.08,0,90.48,149.95,120.41,130.47,175.59,98.46,127.73,102.16,72.64,105.41,90.39,98.61,75.87,150.72,46.13,94.25,0,0,72.03,0,93.78,114.78,0,0,0,0,293.98,0,0,0,152.55,251.33,0,192.97,0,105.22,0,0,165.49,0,0,0
"2016-09-14",0,148.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.73,0,0,57.09,0,287.68,0,171,52.56,100.64,106.25,110.41,153.55,57.55,104.7,115.69,63.13,91.61,126.32,58.75,101.17,144.06,74.53,149.11,89.37,58.99,154.8,166.39,114.23,95.12,95.13,78.96,96.1,99.31,105.87,92.62,168.64,203.76,0,166.21,152.15,0,133.45,154.85,112.23,120.55,86.29,203.63,189.72,151.5,0,225.43,74.58,0,197.03
"2016-09-15",63.21,0,0,0,0,155.87,0,0,68.31,122.36,0,0,0,0,0,0,129.71,0,71.41,109.68,0,164.78,91,192.64,82.82,112.37,102.98,94.15,90.09,28.97,143.28,118.1,172.9,0,0,96.46,176.84,0,107.68,149.15,102.88,85.22,206.11,177.33,89.74,129.59,104.2,245.55,0,0,242.36,202.01,163.92,0,144.47,0,0,131.47,0,0,0,0,0,0,0,0,0,0,0,0,219.79,0
"2016-09-16",0,162.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.95,0,0,58.74,94.3,0,93.71,59.72,52.17,138.09,110,194.39,89.86,186.79,133.23,0,168.09,55.68,119.97,99.49,143.54,125.61,164.32,116.97,116.12,135.79,90.27,63.91,144.97,177.17,69.99,143.5,62.34,262.61,137.91,220.41,99.34,75.97,88.47,187.77,202.06,43.84,126.62,73.28,91.55,160.65,71.92,201.1,115.98,145.55,0,151.89,0,100.78,0
"2016-09-17",0,0,99.01,0,0,0,0,0,0,0,165.85,0,0,0,0,0,147.56,0,228.55,42.19,0,75.32,43.97,133.57,68.07,43.11,82.82,121.69,0,101.34,89.3,44.05,32.53,70.08,107.59,26.35,112.34,80.09,67.92,30.17,81.01,60.33,0,88.43,0,0,89.26,122.63,118.8,108.46,65.77,103.91,0,105.93,64.57,0,77.58,80,0,80.91,0,281.38,0,114.52,99.66,190.37,0,172.94,244.19,0,0,206.07
"2016-09-18",0,0,248.52,0,0,0,0,0,0,121.25,0,0,0,0,0,0,0,0,70.26,0,100.38,0,57.29,0,66.38,138.13,0,94.88,42.6,119.75,170.29,161.98,111.51,114.85,121.05,119.28,94.02,78.37,16.95,78.21,104.79,85.01,74.89,41.69,73.97,111.06,95.66,86.2,83.81,158.17,140.84,98.06,103.81,78.84,53.25,112.34,70.97,99.22,185.61,26.64,57.49,134.91,158.49,0,112.89,0,173.28,93.53,0,0,0,81.19
"2016-09-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.58,88.08,123.12,97.16,127.96,107.45,82.78,74.3,109.6,73.7,24.08,173.31,16.48,39.21,83.2,32.47,167.4,45.92,0,58.39,55.49,48.66,189.12,42.08,99.64,88.76,0,110.79,18.3,72.69,0,61.29,173.2,30.05,46.65,140.91,115.08,0,0,0,0,149.64,0,0,0,0,139.25,57.65,0,65.27,0,0,149.77,0,0
